id,commentCount,dislikeCount,hiddenSubscriberCount,likeCount,subscriberCount,videoCount,viewCount
86pbg-dSlrU,619,256,,3229,,,85614
bWmKI6IdbSI,1619,407,,5782,,,98786
,,,,,,,
jfN0PCoclMA,201,352,,1268,,,22896
KKJ1Owy8YCg,33,8,,212,,,3446
S3z1X8ndg2I,182,77,,1886,,,30919
XoTJOxqz1IE,4,0,,66,,,7812
PCoW89Micms,274,31,,2064,,,38751
CUkNNJ4lmlY,43,9,,195,,,3766
X0eN8Kxx5UU,0,0,,2,,,1976
omwUBC2yzBo,221,36,,3034,,,49852
6qaE_NPvAio,66,38,,424,,,16236
YfuWfLQjIfw,2,0,,63,,,2027
NAj4LeMsEOk,1,1,,8,,,922
IZ8vYcqRx48,17,0,,56,,,1145
UC2yc-ssgmE9zX4A0xyjl-oQ,25,,false,,59262,103,5419532
UCaHx0T1LWrVKWF1XfWWLSuw,708,,false,,639444,1047,118194891
UC306rvZL68AXSgOT3Q3SOZg,3156,,false,,728011,598,185766451
UC7aE5B-ZFEAoumyj6FaJ7lg,0,,false,,1122383,486,136556937
UC9gC-rxzwtavwa9oLZAkpJg,80,,false,,601886,587,248118208
UCGFn6CpxupkB1tsJKBsdcJw,3,,false,,8184,11,33952
UCwhonNnScR0VSaPRI4rbMYQ,0,,false,,5875,160,4910736
UC9M-CBdQ4FgRmf6WKzFj4jw,190,,false,,278320,68,9941761
UCjvBT_NGyCF4w2k1n7knEMw,0,,false,,267,3,844
UCSGKapsEwiMEr-lD-9CuCBQ,87,,false,,16651,52,487657
PuI99ZUy6tU,9,2,,149,,,3098
,,,,,,,
,,,,,,,
,,,,,,,
5_CljUs3tLc,15,12,,156,,,199789
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
nhfsujLxq8s,,2,,3,,,2645
S-h3UlNKNEI,3,0,,12,,,717
ky2O8dlA5ds,39,8,,132,,,6292
